representation,source_file,num_samples,num_candidate_points,num_candidates,threshold,calibration_mode,calibration_target,candidate_point_rate,score_mean,score_std,score_max,candidate_points_total,candidate_length_mean,candidate_length_max,peak_score_mean,peak_score_max
dual_mode,A1-3.1_preprocessed__dual_mode.csv,27104,57,1,96.79068385139442,global_quantile,0.995,0.0021030106257378983,1.8384668899684478,12.326233653965671,448.48578672786357,57,57.0,57,448.48578672786357,448.48578672786357
dual_mode,A1-30.1_preprocessed__dual_mode.csv,6501,42,1,96.79068385139442,global_quantile,0.995,0.006460544531610522,4.004378091782175,28.005045388082394,560.3195798482941,42,42.0,42,560.3195798482941,560.3195798482941
dual_mode,A1-31.1_preprocessed__dual_mode.csv,6830,15,1,96.79068385139442,global_quantile,0.995,0.0021961932650073207,3.66931615085369,22.300355494510914,617.0037136627204,15,15.0,15,617.0037136627204,617.0037136627204
dual_mode,A1-32.1_preprocessed__dual_mode.csv,3913,56,2,96.79068385139442,global_quantile,0.995,0.014311270125223614,5.878338895048757,43.36509366253376,688.4574041781054,59,29.5,49,419.23849446802234,688.4574041781054
dual_mode,A1-4.1_preprocessed__dual_mode.csv,26988,66,4,96.79068385139442,global_quantile,0.995,0.002445531347265451,2.2093626055787308,9.688802604963978,347.9910982630586,66,16.5,23,210.977725933226,347.9910982630586
dual_mode,A1-5.1_preprocessed__dual_mode.csv,28967,214,3,96.79068385139442,global_quantile,0.995,0.007387717057341112,19.496143394986714,432.8062332809171,24476.86584057599,214,71.33333333333333,100,12680.453532912043,24476.86584057599
dual_mode,A1-6.1_preprocessed__dual_mode.csv,25024,236,4,96.79068385139442,global_quantile,0.995,0.009430946291560102,84.94838031607212,2494.416982874744,120424.42304745462,234,58.5,88,31096.63578478563,120424.42304745462
dual_mode,A1-6.2_preprocessed__dual_mode.csv,18873,147,3,96.79068385139442,global_quantile,0.995,0.007788904784612939,28.323468937507926,676.9478155652373,33242.61640780509,147,49.0,99,11817.396888971465,33242.61640780509
dual_mode,A1-7.1_preprocessed__dual_mode.csv,27273,136,6,96.79068385139442,global_quantile,0.995,0.004986616800498661,4.330411364618745,49.151967149562346,2504.525697377347,132,22.0,50,761.7414004486304,2504.525697377347
dual_mode,A1-8.1_preprocessed__dual_mode.csv,23266,117,5,96.79068385139442,global_quantile,0.995,0.005028797386744606,3.926663797410054,29.176552534302456,1152.7684599056195,112,22.4,41,441.9575643814516,1152.7684599056195
dual_mode,A1-9.1_preprocessed__dual_mode.csv,24353,47,1,96.79068385139442,global_quantile,0.995,0.0019299470291134562,2.4195570818873846,21.822551338707786,815.4617243431869,42,42.0,42,815.4617243431869,815.4617243431869
